#tail	head	KSP index
RELA	NFKB1	1
UNC5CL	RELA	2
NFKBIA	MCM5	3
TNFRSF1B	TRAF2	4
UNC5CL	RELA	5
UNC5CL	RELA	6
NFKBIB	POLR1D	7
TRAF2	IKBKB	8
UNC5CL	RELA	9
UNC5CL	RELA	10
TNFRSF8	TRAF2	11
RELA	NFKB1	12
TNFRSF1B	TNFRSF1A	13
RELA	NFKBIB	14
RELB	DPF2	15
TRAF1	IKBKG	16
RELA	EP300	17
TNFRSF1B	TRAF2	18
NFKBIB	POLR1D	19
TRAF6	MAP3K14	20
IKBKB	NFKBIB	21
NFKBIB	POLR1C	22
UNC5CL	RELA	23
TNFRSF11A	TRAF6	24
TNFRSF1B	BTRC	25
TNFRSF8	TRAF2	26
BTRC	NFKB1	27
TRAF6	TAB3	28
TNFRSF8	TRAF2	29
RELA	TRIB3	30
NFKB1	NFKBIZ	31
TNFRSF8	TRAF2	32
TRAF2	IKBKB	33
IKBKB	NFKB1	34
TNFRSF8	TRAF2	35
TNFRSF11A	TRAF6	36
TRAF6	NR2C2	37
NFKBIB	POLR1E	38
TNFRSF8	TRAF2	39
TNFRSF11A	TRAF6	40
TRAF6	MAP3K14	41
IKBKG	NFKB2	42
RELB	SMARCE1	43
TNFRSF11A	TRAF6	44
UNC5CL	RELA	45
UNC5CL	RELA	46
RELA	NFKB2	47
TNFRSF11A	TRAF6	48
NFKB1	BCL3	49
MAP3K14	IKBKB	50
TNFRSF1B	BTRC	51
RELB	SMARCC2	52
BTRC	NFKB1	53
TNFRSF8	TRAF2	54
RELA	EP300	55
TNFRSF1B	TNFRSF1A	56
TNFRSF8	TRAF2	57
TNFRSF11A	TRAF6	58
MAP3K14	IKBKB	59
RELA	NFKBIA	60
BTRC	NFKB1	61
TNFRSF11A	TRAF6	62
TRAF2	IKBKB	63
TNFRSF1A	IKBKG	64
TRAF2	IKBKB	65
TNFRSF11A	TRAF6	66
TNFRSF1B	BTRC	67
TRAF6	MAP3K14	68
MAP3K14	NFKB2	69
TNFRSF8	TRAF2	70
TNFRSF11A	TRAF6	71
TNFRSF11A	TRAF6	72
TAB3	TRAF2	73
TNFRSF8	TRAF2	74
RELA	PML	75
NFKBIB	POLR2H	76
MAP3K14	IKBKB	77
TRAF2	IKBKB	78
BTRC	NFKBIB	79
IKBKB	NFKBIB	80
TNFRSF8	TRAF2	81
TRAF2	IKBKB	82
IKBKB	NFKB2	83
TRAF6	MAP3K14	84
TNFRSF8	TRAF2	85
UNC5CL	RELA	86
NFKB1	RELB	87
UNC5CL	RELA	88
TNFRSF8	TRAF2	89
RELA	NFKBIB	90
TNFRSF1B	TRAF2	91
IKBKB	NFKB2	92
IKBKB	RELA	93
TNFRSF1B	BTRC	94
TNFRSF8	TRAF2	95
MAP3K14	IKBKB	96
MAP3K14	NFKB2	97
TRAF2	TAB3	98
RELA	RELB	99
RELA	HDAC1	100
NFKB2	MAP3K14	101
NFKB1	RELB	102
IKBKB	RELA	103
NFKB2	RELB	104
BTRC	NFKBIB	105
