#tail	head	KSP index
SOX1	CTNNB1	1
CSNK1A1	AXIN1	2
SOX1	CTNNB1	3
GSK3B	ROR2	4
WNT7A	FZD7	5
LRP6	WNT5A	6
GSK3B	ROR2	7
WNT3A	RYK	8
ROR2	WNT3	9
LRP5	FZD8	10
LRP6	FZD1	11
TCF3	CTNNB1	12
GSK3B	ROR2	13
ROR2	WNT5A	14
DVL1	GSK3B	15
ROR2	WNT2	16
GSK3B	ROR2	17
TCF3	CTNNB1	18
AXIN1	LRP6	19
NFATC2	CSNK1A1	20
AXIN1	LRP6	21
CTNNB1	AXIN1	22
AXIN1	LRP5	23
ROR2	WNT3	24
SMAD1	DVL1	25
LRP5	FZD8	26
LRP6	WNT5A	27
NFATC2	CSNK1A1	28
GSK3B	ROR2	29
AXIN1	LRP6	30
CTNNB1	GSK3B	31
CTNNB1	AXIN1	32
AXIN1	LRP6	33
ROR2	WNT2	34
WNT5A	FZD3	35
CTNNB1	GSK3B	36
CTNNB1	GSK3B	37
CTNNB1	GSK3B	38
DAB2	AXIN1	39
LRP6	WNT5A	40
CSNK1A1	AXIN1	41
LRP5	FZD8	42
WNT7A	FZD9	43
CSNK1A1	AXIN1	44
GSK3B	ROR2	45
CTNNB1	GSK3B	46
TCF3	CTNNB1	47
AXIN1	LRP6	48
WNT5A	ROR1	49
FZD5	FZD10	50
ROR2	WNT2	51
FZD1	WNT3	52
SMAD1	DVL1	53
LRP6	FZD1	54
CSNK1A1	AXIN1	55
LRP6	FZD1	56
ROR2	WNT3	57
CTNNB1	AXIN1	58
CTNNB1	AXIN1	59
WNT5A	ROR1	60
SOX1	CTNNB1	61
CTNNB1	AXIN1	62
AXIN1	LRP6	63
AXIN1	LRP5	64
SMAD1	DVL1	65
LRP5	FZD8	66
CTNNB1	GSK3B	67
CTNNB1	AXIN1	68
CTNNB1	GSK3B	69
PPARG	NLK	70
DVL1	GSK3B	71
ROR2	WNT2	72
LRP6	FZD8	73
NFATC2	CSNK1A1	74
APC	GSK3B	75
WNT2	FZD3	76
WNT7A	FZD7	77
AXIN1	LRP6	78
GSK3B	ROR2	79
CSNK1A1	AXIN1	80
FZD1	LRP1	81
AXIN1	LRP5	82
TCF3	CTNNB1	83
AXIN1	LRP6	84
CTNNB1	GSK3B	85
GSK3B	ROR2	86
