#tail	head	KSP index
STRAP	TGFBR1	1
TGFB1	SDC2	2
DYNLRB2	TGFBR2	3
TGFBR2	ITGB3	4
SMAD2	TGFBR1	5
DYNLRB2	TGFBR2	6
SMAD2	TGFBR2	7
FOXH1	SMAD2	8
SMAD7	TGFBR1	9
TRAP1	TGFBR2	10
SMAD2	TGFBR2	11
SMAD3	TGFBR1	12
TGFBR2	ITGB1	13
TGFB1	SDC2	14
SMAD4	TRAP1	15
SMAD2	TGFBR2	16
SMAD3	TGFBR1	17
SMAD2	TGFBR2	18
TGFBR2	ITGB1	19
SMAD3	TGFBR1	20
SMAD7	TGFBR2	21
SMAD2	TGFBR2	22
SMAD3	DYNLRB2	23
SKIL	SMURF2	24
ZFYVE9	TGFBR2	25
SMURF2	TGFBR2	26
DYNLRB2	TGFBR2	27
PIAS2	SMAD4	28
TGFBR2	TGFB1	29
FOXH1	SMAD2	30
FOXO3	SMAD2	31
SMAD3	TGFBR1	32
DYNLRB2	TGFBR2	33
VDR	SMAD3	34
TRAP1	TGFBR2	35
TGFBR2	ITGB3	36
ING2	SMAD2	37
TGFBR2	TGFB1	38
TGFBR1	TGFBR3	39
SMAD3	TGFBR1	40
SMAD7	TGFBR1	41
SMAD2	TGFBR2	42
SMAD3	TGFBR1	43
COPS5	SMAD7	44
TGFBR2	TGFBR3	45
CTNNB1	TGFBR2	46
TGFBR2	ITGB3	47
E2F4	SMAD3	48
SMAD4	TRAP1	49
POLD1	TGFBR2	50
CTCF	SMAD3	51
SMAD4	ZFYVE16	52
SMAD3	TGFBR1	53
E2F4	RB1	54
DYNLRB2	TGFBR2	55
JUND	SMAD4	56
SMAD4	TRAP1	57
TGFBR2	ITGB1	58
TGFBR1	TGFBR3	59
SMAD3	DYNLRB2	60
TRAP1	TGFBR2	61
TGFBR2	ITGB1	62
SMAD2	TGFBR1	63
LEF1	SMAD7	64
DYNLRB2	TGFBR2	65
WWTR1	SMAD2	66
NFYC	SMAD2	67
SMAD2	TGFBR2	68
TFDP1	SMAD4	69
SMAD2	TGFBR2	70
IRF2BP1	TGIF1	71
IRF2BP1	TGIF1	72
SMAD7	TGFBR2	73
SMAD2	TGFBR1	74
ATF2	SMAD3	75
TGFBR1	TGFB1	76
WWTR1	SMAD2	77
DYNLRB2	TGFBR2	78
TGFBR2	ITGB3	79
SMAD2	TGFBR1	80
TGFBR2	ITGB1	81
SMAD2	TGFBR2	82
FOSB	SMAD4	83
TGFBR2	ITGB1	84
FOS	SMAD4	85
NFYB	NFYC	86
DYNLRB2	TGFBR2	87
SMAD3	DYNLRB2	88
SMAD3	TGFBR1	89
TGFBR1	TGFBR3	90
ATF3	SMAD3	91
SMAD2	TGFBR2	92
SMAD4	TRAP1	93
SMAD4	TRAP1	94
TRAP1	TGFBR2	95
NFYC	SMAD3	96
VDR	SMAD3	97
ING2	SMAD2	98
TGFBR3	SDC2	99
SMAD7	TGFBR2	100
SMAD2	TGFBR2	101
TRIM33	SMAD2	102
CITED1	EP300	103
SMAD2	TGFBR1	104
NFYA	NFYC	105
SMAD3	TGFBR1	106
SOX9	SMAD2	107
TRAP1	TGFBR2	108
TGFBR2	TGFB1	109
DYNLRB2	TGFBR2	110
SMAD3	DYNLRB2	111
TGFBR2	ITGB3	112
DYNLRB2	TGFBR2	113
RUNX1	SMAD3	114
SMAD2	TGFBR2	115
SMAD3	TGFBR1	116
SMAD4	TRAP1	117
SMAD2	TGFBR2	118
TRAP1	TGFBR2	119
SKIL	SMURF2	120
SMAD3	DYNLRB2	121
TGFBR3	SDC2	122
RUNX1	SMAD3	123
TGFBR2	ITGB1	124
BRCA1	SMAD3	125
NFYC	SMAD3	126
MYC	SMAD2	127
TGFBR2	ITGB1	128
SMAD3	DYNLRB2	129
WWTR1	SMAD2	130
MEF2C	SMAD2	131
OLIG1	SMAD3	132
SMAD7	TGFBR2	133
DYNLRB2	TGFBR2	134
TGFBR3	SDC2	135
TGIF1	SMAD2	136
SMAD7	TGFBR1	137
SMAD2	TGFBR1	138
DYNLRB2	TGFBR2	139
SMAD3	TGFBR1	140
SMAD2	TGFBR2	141
TGFBR1	TGFB1	142
TGFB1	SDC2	143
PIAS1	SMAD4	144
TGFBR2	ITGB1	145
SMAD4	TRAP1	146
SMAD3	TGFBR1	147
SNW1	SMAD2	148
NFYC	SMAD2	149
TGFB1	SDC2	150
TCF4	SMAD7	151
SMAD3	DYNLRB2	152
SMAD2	TGFBR2	153
SMAD3	DYNLRB2	154
ZFYVE16	TGFBR1	155
SMAD4	TRAP1	156
FOXO3	SMAD2	157
SMAD7	TGFBR1	158
DCP1A	SMAD4	159
TGFBR1	TGFB1	160
TRAP1	TGFBR2	161
TGIF1	SMAD2	162
HDAC1	SMAD2	163
TGFBR1	TGFB1	164
TP73	SMAD2	165
SMAD2	TGFBR2	166
HDAC1	SMAD2	167
BRCA1	SMAD3	168
TGFBR1	TGFBR3	169
RUNX3	SMAD4	170
SMAD4	TRAP1	171
NFYC	SMAD3	172
SKIL	SMURF2	173
DYNLRB2	TGFBR2	174
TGFBR2	TGFB1	175
CTNNB1	SMAD7	176
FOXO3	SMAD2	177
TGFBR1	TGFBR3	178
TGFBR2	ITGB1	179
TGFBR2	ITGB3	180
TGFBR3	SDC2	181
RUNX2	SMAD2	182
SMAD3	TGFBR1	183
DDX5	SMAD3	184
FOSB	SMAD4	185
SMAD3	TGFBR1	186
TGFBR2	ITGB1	187
POLD1	TGFBR2	188
TGFB1	SDC2	189
E2F4	SMAD3	190
SMAD3	TGFBR1	191
EWSR1	STRAP	192
TGIF1	SMAD2	193
TGFBR2	ITGB1	194
SMAD7	TGFBR2	195
SMAD4	TRAP1	196
DYNLRB2	TGFBR2	197
SMAD3	DYNLRB2	198
TGFBR2	ITGB3	199
TGFBR2	ITGB3	200
