#KSP	path_length path
1	4.0 AR|SMAD3|DYNLRB2|TGFBR2|ITGB1
2	4.0 AR|SMAD3|DYNLRB2|TGFBR2|ITGB3
3	4.0 AR|SMAD3|TGFBR1|TGFB1|SDC2
4	2.0 AR|SMAD3|TGFBR1
5	3.0 AR|SMAD3|DYNLRB2|TGFBR2
6	4.0 ATF2|SMAD3|DYNLRB2|TGFBR2|ITGB1
7	4.0 ATF2|SMAD3|DYNLRB2|TGFBR2|ITGB3
8	4.0 ATF2|SMAD3|TGFBR1|TGFBR3|SDC2
9	2.0 ATF2|SMAD3|TGFBR1
10	3.0 ATF2|SMAD3|DYNLRB2|TGFBR2
11	4.0 ATF3|SMAD3|DYNLRB2|TGFBR2|ITGB1
12	4.0 ATF3|SMAD3|DYNLRB2|TGFBR2|ITGB3
13	4.0 ATF3|SMAD3|TGFBR1|TGFB1|SDC2
14	2.0 ATF3|SMAD3|TGFBR1
15	3.0 ATF3|SMAD3|DYNLRB2|TGFBR2
16	4.0 BRCA1|SMAD3|DYNLRB2|TGFBR2|ITGB1
17	4.0 BRCA1|SMAD3|DYNLRB2|TGFBR2|ITGB3
18	4.0 BRCA1|SMAD3|TGFBR1|TGFB1|SDC2
19	2.0 BRCA1|SMAD3|TGFBR1
20	3.0 BRCA1|SMAD3|DYNLRB2|TGFBR2
21	4.0 CITED1|EP300|SMAD7|TGFBR2|ITGB1
22	4.0 CITED1|EP300|SMAD7|TGFBR2|ITGB3
23	5.0 CITED1|EP300|SMAD7|TGFBR1|TGFB1|SDC2
24	3.0 CITED1|EP300|SMAD7|TGFBR1
25	3.0 CITED1|EP300|SMAD7|TGFBR2
26	3.0 COPS5|SMAD7|TGFBR2|ITGB1
27	3.0 COPS5|SMAD7|TGFBR2|ITGB3
28	4.0 COPS5|SMAD7|TGFBR1|TGFB1|SDC2
29	2.0 COPS5|SMAD7|TGFBR1
30	2.0 COPS5|SMAD7|TGFBR2
31	3.0 CREBBP|SMAD2|TGFBR2|ITGB1
32	3.0 CREBBP|SMAD2|TGFBR2|ITGB3
33	4.0 CREBBP|SMAD2|TGFBR2|TGFBR3|SDC2
34	2.0 CREBBP|SMAD2|TGFBR1
35	2.0 CREBBP|SMAD2|TGFBR2
36	4.0 CTCF|SMAD3|DYNLRB2|TGFBR2|ITGB1
37	4.0 CTCF|SMAD3|DYNLRB2|TGFBR2|ITGB3
38	4.0 CTCF|SMAD3|TGFBR1|TGFBR3|SDC2
39	2.0 CTCF|SMAD3|TGFBR1
40	3.0 CTCF|SMAD3|DYNLRB2|TGFBR2
41	2.0 CTNNB1|TGFBR2|ITGB1
42	2.0 CTNNB1|TGFBR2|ITGB3
43	3.0 CTNNB1|TGFBR2|TGFBR3|SDC2
