#tail	head	KSP index
NFKBIA	FBXW11	1
NFKBIB	RELA	2
TNIP2	RELA	3
RELB	NFKB2	4
TRAF6	TNFRSF11A	5
NFKBIB	BTRC	6
RELB	NFKB2	7
CFLAR	TRAF2	8
RELB	NFKB2	9
TNFAIP3	ZFAND5	10
ZFAND5	TRAF6	11
RELA	NFKBIA	12
BCL3	NFKB1	13
NFKB2	CHUK	14
NFKB2	MAP3K14	15
BTRC	TRAF2	16
AKT1	CHUK	17
NFKB2	MAP3K14	18
TRAF6	TNFRSF11A	19
MAP3K14	TRAF2	20
RELA	UNC5CL	21
RELA	UNC5CL	22
NFKB2	MAP3K14	23
NFKB1	NFKBIA	24
NFKB2	IKBKB	25
NFKB1	CFLAR	26
TRAF2	TNFRSF8	27
HDAC1	RELA	28
NFKB2	MAP3K14	29
TNIP2	RELA	30
RELA	UNC5CL	31
RELA	NFKB2	32
POLR1C	NFKBIB	33
RELA	UNC5CL	34
TRAF2	TNFRSF1B	35
MAP3K14	TRAF6	36
TRAF2	TNFRSF8	37
RELB	RELA	38
IKBKG	ZFAND5	39
EP300	AKT1	40
EED	TNFRSF1A	41
TRAF2	TNFRSF8	42
NFKBIB	IKBKG	43
RELB	NFKB2	44
HDAC2	RELA	45
RELA	UNC5CL	46
MAP3K14	TRAF6	47
TRAF2	TNFRSF8	48
IKBKG	ZFAND5	49
NFKBIB	IKBKB	50
TRAF2	TNFRSF8	51
NFKBIB	BTRC	52
NFKBIB	RELA	53
BTRC	TNFRSF1B	54
HDAC2	RELA	55
RELB	NFKB1	56
HDAC1	RELA	57
IKBKB	MAP3K14	58
NFKB1	CFLAR	59
PML	RELA	60
RELB	RELA	61
TNFAIP3	ZFAND5	62
CREBBP	CHUK	63
TAB3	TRAF2	64
TRAF6	TNFRSF11A	65
POLR2H	NFKBIB	66
RELA	NFKBIA	67
NFKBIA	IKBKG	68
TRAF6	TNFRSF11A	69
TRIB3	RELA	70
NFKB2	IKBKB	71
RELA	UNC5CL	72
FBXW11	TNFRSF1B	73
TRAF6	TNFRSF11A	74
TRAF6	TNFRSF11A	75
BTRC	TNFRSF1B	76
IKBKB	TRAF2	77
TRAF6	TNFRSF11A	78
SMARCC1	RELB	79
TRAF2	TNFRSF8	80
RB1	MAP3K5	81
NFKB1	NFKBIA	82
REL	NFKBIA	83
NFKBIA	BTRC	84
RELB	RELA	85
NFKBIB	IKBKB	86
TRAF2	TNFRSF8	87
FADD	TNFAIP3	88
TRAF2	TNFRSF8	89
TRAF2	TNFRSF1B	90
ZFAND5	TRAF6	91
TRAF6	TNFRSF11A	92
MAP3K14	TRAF6	93
NFKBIA	RELA	94
NFKBIB	IKBKG	95
TRAF6	TNFRSF11A	96
RELA	UNC5CL	97
HDAC1	RELA	98
IKBKB	TRAF2	99
RELA	UNC5CL	100
RELA	UNC5CL	101
RELA	UNC5CL	102
TRAF6	TNFRSF11A	103
NFKBIB	IKBKB	104
REL	TNIP2	105
MAP3K14	TRAF6	106
TRIB3	RELA	107
NFKBIB	IKBKG	108
RELA	UNC5CL	109
ZFAND5	TRAF6	110
NFKB2	IKBKB	111
NFKBIB	BTRC	112
TRAF6	TNFRSF11A	113
TRAF2	TNFRSF8	114
NFKBIA	BTRC	115
TRADD	TNFRSF1B	116
REL	NFKB2	117
TAB3	TRAF6	118
PAPOLA	REL	119
IKBKB	MAP3K14	120
RELB	NFKB2	121
PML	RELA	122
STAT1	FADD	123
TRAF2	TAB3	124
EED	TNFRSF1A	125
RELB	RELA	126
POLR2L	NFKBIB	127
NFKBIZ	NFKB1	128
TRADD	TNFRSF1B	129
NFKBIA	BTRC	130
POLR1B	NFKBIB	131
NFKB1	CFLAR	132
IKBKB	TRAF2	133
POLR1C	NFKBIB	134
ZFAND5	TRAF6	135
BTRC	TNFRSF1B	136
NFKBIA	BTRC	137
NFKB1	CFLAR	138
PEG3	TRAF2	139
TNFRSF1A	TNFRSF1B	140
MCM5	NFKBIA	141
SMARCB1	RELB	142
TRIB3	RELA	143
TRAF2	TAB3	144
NFKBIB	RELA	145
TNFRSF1A	CHUK	146
IKBKB	TRAF2	147
NFKB2	IKBKB	148
ZFAND5	TRAF6	149
FBXW11	TNFRSF1B	150
IKBKB	TRAF2	151
NFKB1	RELA	152
NFKB2	IKBKB	153
RELA	UNC5CL	154
RELA	UNC5CL	155
TRAF6	TNFRSF11A	156
CHUK	TRAF2	157
NFKBIB	RELA	158
NFKB1	IKBKG	159
TRAF6	TNFRSF11A	160
NFKB1	IKBKG	161
BTRC	TNFRSF1B	162
REL	NFKB1	163
COPS5	TRAF2	164
BTRC	TNFRSF1B	165
BTRC	TNFRSF1B	166
MAP3K14	TRAF6	167
COPS5	TRAF2	168
POLR1E	NFKBIB	169
MAP3K14	TRAF6	170
TAB3	MAP3K7	171
SMARCE1	RELB	172
NFKB1	NFKBIA	173
TRAF2	TNFRSF8	174
RELB	RELA	175
IKBKB	TRAF2	176
TRAF2	TNFRSF8	177
IKBKB	MAP3K14	178
TRAF2	TNFRSF8	179
PIAS3	RELA	180
RELA	NFKB2	181
BTRC	TNFRSF1B	182
MAP3K14	TRAF2	183
POLR1E	NFKBIB	184
POLR2H	NFKBIB	185
SMARCC2	RELB	186
NFKBIB	BTRC	187
RELA	UNC5CL	188
CHUK	RELA	189
SMARCA4	RELB	190
TRAF6	TNFRSF11A	191
CFLAR	TRAF2	192
NFKBIA	BTRC	193
RELB	NFKB2	194
NFKBIA	FBXW11	195
POLR1E	NFKBIB	196
TRAF2	TNFRSF8	197
