#tail	head	KSP index
SOX1	CTNNB1	1
NFATC2	CSNK1A1	2
FZD8	RYK	3
GSK3B	ROR2	4
APC	GSK3B	5
AXIN1	LRP6	6
AXIN1	LRP6	7
CTNNB1	GSK3B	8
AXIN1	LRP5	9
ROR2	WNT2	10
CTNNB1	AXIN1	11
FZD8	RYK	12
NLK	CTNNB1	13
CTNNB1	GSK3B	14
GSK3B	ROR2	15
AXIN1	LRP6	16
NLK	CTNNB1	17
WNT2	FZD3	18
NFATC2	CSNK1A1	19
NFATC2	CSNK1A1	20
DVL1	AXIN1	21
GSK3B	ROR2	22
AXIN1	LRP6	23
AXIN1	LRP5	24
WNT3	ROR1	25
WNT7A	FZD9	26
LRP6	WNT3A	27
WNT3A	FZD5	28
CTNNB1	AXIN1	29
WNT5A	ROR1	30
CTNNB1	GSK3B	31
GSK3B	ROR2	32
CSNK1A1	AXIN1	33
GSK3B	ROR2	34
ROR2	FZD5	35
CTNNB1	GSK3B	36
SOX1	CTNNB1	37
SOX1	CTNNB1	38
DAB2	AXIN1	39
AXIN1	LRP6	40
NFATC2	CSNK1A1	41
ROR2	WNT7A	42
AXIN1	LRP6	43
CSNK1A1	AXIN1	44
AXIN1	LRP6	45
AXIN1	LRP5	46
FZD5	FZD10	47
LRP6	WNT5A	48
GSK3B	ROR2	49
ROR2	FZD2	50
AXIN1	LRP6	51
AXIN1	LRP5	52
DVL1	AXIN1	53
DAB2	AXIN1	54
CSNK1A1	AXIN1	55
AXIN1	LRP5	56
FRAT1	LRP5	57
CTNNB1	AXIN1	58
CTNNB1	GSK3B	59
TCF4	CTNNB1	60
WNT3	ROR1	61
CTNNB1	AXIN1	62
AXIN1	LRP5	63
NFATC2	CSNK1A1	64
FZD5	FZD10	65
CTNNB1	AXIN1	66
GSK3B	ROR2	67
GSK3B	ROR2	68
LEF1	CTNNB1	69
ROR2	WNT3	70
SMAD1	DVL1	71
GSK3B	ROR2	72
AXIN1	LRP6	73
FZD1	WNT2	74
APC	GSK3B	75
GSK3B	ROR2	76
LRP6	FZD1	77
LRP5	FZD8	78
AXIN1	LRP5	79
DVL1	AXIN1	80
AXIN1	LRP6	81
AXIN1	LRP6	82
CTNNB1	GSK3B	83
TCF3	CTNNB1	84
LRP6	WNT3A	85
NLK	CTNNB1	86
LRP5	FZD8	87
SOX1	CTNNB1	88
AXIN1	LRP6	89
PPARG	NLK	90
ROR2	FZD5	91
GSK3B	ROR2	92
TCF3	CTNNB1	93
CTNNB1	AXIN1	94
DVL1	GSK3B	95
GSK3B	ROR2	96
ROR2	WNT7A	97
LRP5	FZD8	98
NLK	CTNNB1	99
AXIN1	LRP6	100
APC	GSK3B	101
AXIN1	LRP6	102
LRP6	FZD1	103
DAB2	AXIN1	104
CSNK1A1	AXIN1	105
TCF4	CTNNB1	106
