tail	head	edge flux
CCNT1	CDK9	0.0
BID	BAX	0.0
APPL2	MTA2	0.0
APPL2	RBBP7	0.0
TXNIP	TXN	0.0
CDC25A	ROCK1	0.0
PIK3R1	RXRA	0.0
APAF1	CASP9	0.0
MAP2K7	MAPK8	0.0
CDK9	CCNT1	0.0
TRAF4	RPS6KB1	0.0
HAT1	HIST3H3	0.0
TXN	TXNIP	0.0
EEF1A1	ZNF259	0.0
PPP4C	IRS4	0.0
APPL1	MTA2	0.0
APPL1	RBBP7	0.0
ARAF	MAP2K1	0.0
FLOT2	FLOT1	0.0
TRIM32	XIAP	0.0
RBBP7	APPL1	0.0
RBBP7	APPL2	0.0
RPS6KB1	TRAF4	0.0
ZNF259	EEF1A1	0.0
ADAM17	PTPRF	0.0
XIAP	TRIM32	0.0
RXRA	PIK3R1	0.0
PRKCA	ARHGEF1	0.0
CASP9	APAF1	0.0
MTA2	APPL1	0.0
MTA2	APPL2	0.0
MYLK	MYL9	0.0
PPP2R1B	RPS6KB2	0.0
BAX	BID	0.0
ROCK1	CDC25A	0.0
FLOT1	FLOT2	0.0
MAP2K4	MAPK9	0.0
MAP2K4	MAPK8	0.0
ANAPC10	ANAPC4	1.1632864859579085E-7
ANAPC10	CDC27	1.1632864859579085E-7
ANAPC10	FZR1	1.1632864859579085E-7
ANAPC10	CDC23	1.1632864859579085E-7
ANAPC10	ANAPC5	1.1632864859579085E-7
ANAPC10	CDC16	1.1632864859579085E-7
ANAPC10	ANAPC1	1.1632864859579085E-7
ANAPC10	ANAPC2	1.1632864859579085E-7
ANAPC10	ANAPC7	1.1632864859579085E-7
ANAPC5	ANAPC4	1.1632864859579085E-7
ANAPC5	CDC27	1.1632864859579085E-7
ANAPC5	FZR1	1.1632864859579085E-7
ANAPC5	ANAPC10	1.1632864859579085E-7
ANAPC5	CDC23	1.1632864859579085E-7
ANAPC5	CDC16	1.1632864859579085E-7
ANAPC5	ANAPC1	1.1632864859579085E-7
ANAPC5	ANAPC2	1.1632864859579085E-7
ANAPC5	ANAPC7	1.1632864859579085E-7
CDC23	ANAPC4	1.1632864859579091E-7
CDC23	CDC27	1.1632864859579091E-7
CDC23	FZR1	1.1632864859579091E-7
CDC23	ANAPC10	1.1632864859579091E-7
CDC23	ANAPC5	1.1632864859579091E-7
CDC23	CDC16	1.1632864859579091E-7
CDC23	ANAPC1	1.1632864859579091E-7
CDC23	ANAPC2	1.1632864859579091E-7
CDC23	ANAPC7	1.1632864859579091E-7
ANAPC2	ANAPC4	1.1632864859579091E-7
ANAPC2	CDC27	1.1632864859579091E-7
ANAPC2	FZR1	1.1632864859579091E-7
ANAPC2	ANAPC10	1.1632864859579091E-7
ANAPC2	CDC23	1.1632864859579091E-7
ANAPC2	ANAPC5	1.1632864859579091E-7
ANAPC2	CDC16	1.1632864859579091E-7
ANAPC2	ANAPC1	1.1632864859579091E-7
ANAPC2	ANAPC7	1.1632864859579091E-7
ANAPC4	CDC27	1.1632864859579091E-7
ANAPC4	FZR1	1.1632864859579091E-7
ANAPC4	ANAPC10	1.1632864859579091E-7
ANAPC4	CDC23	1.1632864859579091E-7
ANAPC4	ANAPC5	1.1632864859579091E-7
ANAPC4	CDC16	1.1632864859579091E-7
ANAPC4	ANAPC1	1.1632864859579091E-7
ANAPC4	ANAPC2	1.1632864859579091E-7
ANAPC4	ANAPC7	1.1632864859579091E-7
ANAPC7	ANAPC4	1.1632864859579093E-7
ANAPC7	CDC27	1.1632864859579093E-7
ANAPC7	FZR1	1.1632864859579093E-7
ANAPC7	ANAPC10	1.1632864859579093E-7
ANAPC7	CDC23	1.1632864859579093E-7
ANAPC7	ANAPC5	1.1632864859579093E-7
ANAPC7	CDC16	1.1632864859579093E-7
ANAPC7	ANAPC1	1.1632864859579093E-7
ANAPC7	ANAPC2	1.1632864859579093E-7
ANAPC1	ANAPC4	1.1632864859579096E-7
ANAPC1	CDC27	1.1632864859579096E-7
ANAPC1	FZR1	1.1632864859579096E-7
ANAPC1	ANAPC10	1.1632864859579096E-7
ANAPC1	CDC23	1.1632864859579096E-7
ANAPC1	ANAPC5	1.1632864859579096E-7
ANAPC1	CDC16	1.1632864859579096E-7
ANAPC1	ANAPC2	1.1632864859579096E-7
ANAPC1	ANAPC7	1.1632864859579096E-7
FZR1	ANAPC4	2.3608404349526917E-7
FZR1	CDC27	2.3608404349526917E-7
FZR1	ANAPC10	2.3608404349526917E-7
FZR1	CDC23	2.3608404349526917E-7
FZR1	ANAPC5	2.3608404349526917E-7
FZR1	CDC16	2.3608404349526917E-7
FZR1	ANAPC1	2.3608404349526917E-7
FZR1	ANAPC2	2.3608404349526917E-7
FZR1	ANAPC7	2.3608404349526917E-7
FZR1	SKIL	2.3608404349526917E-7
CDC16	ANAPC4	5.123570536715398E-7
CDC16	CDC27	5.123570536715398E-7
CDC16	FZR1	5.123570536715398E-7
CDC16	ANAPC10	5.123570536715398E-7
CDC16	CDC23	5.123570536715398E-7
CDC16	ANAPC5	5.123570536715398E-7
CDC16	ANAPC1	5.123570536715398E-7
CDC16	ANAPC2	5.123570536715398E-7
CDC16	ANAPC7	5.123570536715398E-7
CDC16	SMAD2	5.123570536715398E-7
CDC16	SKIL	5.123570536715398E-7
CDC16	SMAD3	5.123570536715398E-7
CDC27	ANAPC4	5.123570536715398E-7
CDC27	FZR1	5.123570536715398E-7
CDC27	ANAPC10	5.123570536715398E-7
CDC27	CDC23	5.123570536715398E-7
CDC27	ANAPC5	5.123570536715398E-7
CDC27	CDC16	5.123570536715398E-7
CDC27	ANAPC1	5.123570536715398E-7
CDC27	ANAPC2	5.123570536715398E-7
CDC27	ANAPC7	5.123570536715398E-7
CDC27	SMAD2	5.123570536715398E-7
CDC27	SKIL	5.123570536715398E-7
CDC27	SMAD3	5.123570536715398E-7
RIN1	RAB5A	5.288036171605973E-7
RAB5A	USP6NL	5.288036171605974E-7
RAB5A	RIN1	5.288036171605974E-7
SMAD2	ZEB2	7.035953921323272E-7
SMAD2	TP73	7.035953921323272E-7
SMAD2	PML	7.035953921323272E-7
SMAD2	SKI	7.035953921323272E-7
SMAD2	TGFBR1	7.035953921323272E-7
SMAD2	SNW1	7.035953921323272E-7
SMAD2	DAB2	7.035953921323272E-7
SMAD2	FOXH1	7.035953921323272E-7
SMAD2	CDC16	7.035953921323272E-7
SMAD2	SOX9	7.035953921323272E-7
SMAD2	NFYC	7.035953921323272E-7
SMAD2	WWP1	7.035953921323272E-7
SMAD2	EP300	7.035953921323272E-7
SMAD2	MEF2C	7.035953921323272E-7
SMAD2	DVL1	7.035953921323272E-7
SMAD2	TGIF1	7.035953921323272E-7
SMAD2	NEDD4L	7.035953921323272E-7
SMAD2	KAT2B	7.035953921323272E-7
SMAD2	STAMBPL1	7.035953921323272E-7
SMAD2	MYC	7.035953921323272E-7
SMAD2	LEF1	7.035953921323272E-7
SMAD2	TRIM33	7.035953921323272E-7
SMAD2	ING2	7.035953921323272E-7
SMAD2	CDC27	7.035953921323272E-7
SMAD2	EID2	7.035953921323272E-7
SMAD2	MEF2A	7.035953921323272E-7
SMAD2	RUNX2	7.035953921323272E-7
SMAD2	AXIN1	7.035953921323272E-7
