tail	head	edge flux
CCNT1	CDK9	0.0
BID	BAX	0.0
PPP1CA	PPP1R1B	0.0
APPL2	MTA2	0.0
APPL2	RBBP7	0.0
TXNIP	TXN	0.0
CDC25A	ROCK1	0.0
PIK3R1	RXRA	0.0
APAF1	CASP9	0.0
MAP2K7	MAPK8	0.0
PPP1R12A	YWHAB	0.0
CDK9	CCNT1	0.0
MAP4K1	MAP3K7	0.0
TRAF4	RPS6KB1	0.0
HAT1	HIST3H3	0.0
PRKACA	PPP1R1B	0.0
TXN	TXNIP	0.0
CTBP1	TCF7L2	0.0
PPP1R1B	PPP1CA	0.0
EEF1A1	ZNF259	0.0
PPP4C	IRS4	0.0
APPL1	MTA2	0.0
APPL1	RBBP7	0.0
ARAF	MAP2K1	0.0
FLOT2	FLOT1	0.0
TRIM32	XIAP	0.0
TCF7L2	CTBP1	0.0
RBBP7	APPL1	0.0
RBBP7	APPL2	0.0
RPS6KB1	TRAF4	0.0
ZNF259	EEF1A1	0.0
ADAM17	PTPRF	0.0
XIAP	TRIM32	0.0
RXRA	PIK3R1	0.0
CASP9	APAF1	0.0
MTA2	APPL1	0.0
MTA2	APPL2	0.0
MYLK	MYL9	0.0
PPP2R1B	RPS6KB2	0.0
BAX	BID	0.0
ROCK1	CDC25A	0.0
FLOT1	FLOT2	0.0
MAPK8	PAX2	0.0
RAB5A	USP6NL	2.0929323547669645E-8
RAB5A	RIN1	2.0929323547669645E-8
RIN1	RAB5A	2.0929323547669658E-8
RALBP1	REPS2	3.525142725827029E-8
RALBP1	RALB	3.525142725827029E-8
RALB	RALBP1	3.525142725827031E-8
VAV2	PIK3R2	3.636230760944923E-8
VAV2	SMU1	3.636230760944923E-8
VAV2	CD59	3.636230760944923E-8
VAV2	GRB2	3.636230760944923E-8
VAV2	YWHAZ	3.636230760944923E-8
VAV2	KRT17	3.636230760944923E-8
VAV2	CBLB	3.636230760944923E-8
VAV2	PTPN11	3.636230760944923E-8
VAV2	SHC1	3.636230760944923E-8
VAV2	AP2A1	3.636230760944923E-8
VAV2	ATP5C1	3.636230760944923E-8
VAV2	HIST3H3	3.636230760944923E-8
VAV2	IQGAP1	3.636230760944923E-8
VAV2	SNRPD2	3.636230760944923E-8
VAV2	KRT8	3.636230760944923E-8
VAV2	RACGAP1	3.636230760944923E-8
VAV2	ACTA2	3.636230760944923E-8
VAV2	KRT7	3.636230760944923E-8
VAV2	MT-CO2	3.636230760944923E-8
VAV2	EGFR	3.636230760944923E-8
VAV2	EPPK1	3.636230760944923E-8
VAV2	PIK3R1	3.636230760944923E-8
VAV2	UBB	3.636230760944923E-8
VAV2	CBL	3.636230760944923E-8
VAV2	SOS1	3.636230760944923E-8
VAV2	PLEC	3.636230760944923E-8
VAV2	VAV3	3.636230760944923E-8
VAV2	AP2B1	3.636230760944923E-8
VAV2	EGF	3.636230760944923E-8
VAV2	ERRFI1	3.636230760944923E-8
VAV2	SOS2	3.636230760944923E-8
VAV2	MPRIP	3.636230760944923E-8
VAV2	KRT18	3.636230760944923E-8
VAV2	AP2S1	3.636230760944923E-8
SNRPD2	PIK3R2	3.6362307609449245E-8
SNRPD2	SMU1	3.6362307609449245E-8
SNRPD2	VAV2	3.6362307609449245E-8
SNRPD2	CD59	3.6362307609449245E-8
SNRPD2	GRB2	3.6362307609449245E-8
SNRPD2	YWHAZ	3.6362307609449245E-8
SNRPD2	KRT17	3.6362307609449245E-8
SNRPD2	CBLB	3.6362307609449245E-8
SNRPD2	PTPN11	3.6362307609449245E-8
SNRPD2	SHC1	3.6362307609449245E-8
SNRPD2	AP2A1	3.6362307609449245E-8
SNRPD2	ATP5C1	3.6362307609449245E-8
SNRPD2	HIST3H3	3.6362307609449245E-8
SNRPD2	IQGAP1	3.6362307609449245E-8
SNRPD2	KRT8	3.6362307609449245E-8
SNRPD2	RACGAP1	3.6362307609449245E-8
SNRPD2	ACTA2	3.6362307609449245E-8
SNRPD2	KRT7	3.6362307609449245E-8
SNRPD2	MT-CO2	3.6362307609449245E-8
SNRPD2	EGFR	3.6362307609449245E-8
SNRPD2	EPPK1	3.6362307609449245E-8
SNRPD2	PIK3R1	3.6362307609449245E-8
SNRPD2	UBB	3.6362307609449245E-8
SNRPD2	CBL	3.6362307609449245E-8
SNRPD2	SOS1	3.6362307609449245E-8
SNRPD2	PLEC	3.6362307609449245E-8
SNRPD2	VAV3	3.6362307609449245E-8
SNRPD2	AP2B1	3.6362307609449245E-8
SNRPD2	EGF	3.6362307609449245E-8
SNRPD2	ERRFI1	3.6362307609449245E-8
SNRPD2	SOS2	3.6362307609449245E-8
SNRPD2	MPRIP	3.6362307609449245E-8
SNRPD2	KRT18	3.6362307609449245E-8
SNRPD2	AP2S1	3.6362307609449245E-8
CBLB	PIK3R2	3.636230760944925E-8
CBLB	SMU1	3.636230760944925E-8
CBLB	VAV2	3.636230760944925E-8
CBLB	CD59	3.636230760944925E-8
CBLB	GRB2	3.636230760944925E-8
CBLB	YWHAZ	3.636230760944925E-8
CBLB	KRT17	3.636230760944925E-8
CBLB	PTPN11	3.636230760944925E-8
CBLB	SHC1	3.636230760944925E-8
CBLB	AP2A1	3.636230760944925E-8
CBLB	ATP5C1	3.636230760944925E-8
CBLB	HIST3H3	3.636230760944925E-8
CBLB	IQGAP1	3.636230760944925E-8
CBLB	SNRPD2	3.636230760944925E-8
CBLB	KRT8	3.636230760944925E-8
CBLB	RACGAP1	3.636230760944925E-8
CBLB	ACTA2	3.636230760944925E-8
CBLB	KRT7	3.636230760944925E-8
CBLB	MT-CO2	3.636230760944925E-8
CBLB	EGFR	3.636230760944925E-8
CBLB	EPPK1	3.636230760944925E-8
CBLB	PIK3R1	3.636230760944925E-8
CBLB	UBB	3.636230760944925E-8
CBLB	CBL	3.636230760944925E-8
CBLB	SOS1	3.636230760944925E-8
CBLB	PLEC	3.636230760944925E-8
CBLB	VAV3	3.636230760944925E-8
CBLB	AP2B1	3.636230760944925E-8
CBLB	EGF	3.636230760944925E-8
CBLB	ERRFI1	3.636230760944925E-8
CBLB	SOS2	3.636230760944925E-8
CBLB	MPRIP	3.636230760944925E-8
CBLB	KRT18	3.636230760944925E-8
CBLB	AP2S1	3.636230760944925E-8
AP2A1	SMU1	4.22810495690193E-8
AP2A1	VAV2	4.22810495690193E-8
AP2A1	CD59	4.22810495690193E-8
AP2A1	GRB2	4.22810495690193E-8
AP2A1	KRT17	4.22810495690193E-8
AP2A1	CBLB	4.22810495690193E-8
AP2A1	EPS15	4.22810495690193E-8
AP2A1	PTPN11	4.22810495690193E-8
AP2A1	SHC1	4.22810495690193E-8
AP2A1	HIST3H3	4.22810495690193E-8
AP2A1	IQGAP1	4.22810495690193E-8
AP2A1	SNRPD2	4.22810495690193E-8
AP2A1	KRT8	4.22810495690193E-8
AP2A1	RACGAP1	4.22810495690193E-8
AP2A1	KRT7	4.22810495690193E-8
AP2A1	EGFR	4.22810495690193E-8
AP2A1	EPN1	4.22810495690193E-8
AP2A1	EPPK1	4.22810495690193E-8
AP2A1	SOS1	4.22810495690193E-8
AP2A1	PLEC	4.22810495690193E-8
AP2A1	VAV3	4.22810495690193E-8
AP2A1	AP2B1	4.22810495690193E-8
