tail	head	edge flux
PXN	PTK2	0.0
PTK2	PXN	0.0
APPL2	MTA2	0.0
APPL2	RBBP7	0.0
NFKB1	RELA	0.0
NFKB1	ACTN4	0.0
CDC25A	ROCK1	0.0
EEF1A1	ZNF259	0.0
APPL1	MTA2	0.0
APPL1	RBBP7	0.0
FLOT2	FLOT1	0.0
RBBP7	APPL1	0.0
RBBP7	APPL2	0.0
ZNF259	EEF1A1	0.0
ADAM17	PTPRF	0.0
MTA2	APPL1	0.0
MTA2	APPL2	0.0
ACTN4	RELA	0.0
ACTN4	NFKB1	0.0
RELA	ACTN4	0.0
RELA	NFKB1	0.0
PPP2R1B	RPS6KB2	0.0
ROCK1	CDC25A	0.0
FLOT1	FLOT2	0.0
WNK1	MAP3K3	1.8834554265803522E-6
WNK1	MAP3K2	1.8834554265803522E-6
MAP3K2	WNK1	3.348365202809512E-6
MAP3K2	MAP2K5	3.348365202809512E-6
MAP3K2	SH2D2A	3.348365202809512E-6
YWHAB	MAPK7	3.6523462867968887E-6
YWHAB	PPP1R12A	3.6523462867968887E-6
PPP1R12A	YWHAB	3.6523462867968887E-6
SH2D2A	MAP3K2	5.022547804214268E-6
MAP3K3	WNK1	6.2781847552678405E-6
MAP3K3	MAP2K5	6.2781847552678405E-6
ANAPC1	ANAPC4	6.325630824878515E-6
ANAPC1	CDC27	6.325630824878515E-6
ANAPC1	FZR1	6.325630824878515E-6
ANAPC1	ANAPC10	6.325630824878515E-6
ANAPC1	CDC23	6.325630824878515E-6
ANAPC1	ANAPC5	6.325630824878515E-6
ANAPC1	CDC16	6.325630824878515E-6
ANAPC1	ANAPC2	6.325630824878515E-6
ANAPC1	ANAPC7	6.325630824878515E-6
ANAPC4	CDC27	6.325630824878515E-6
ANAPC4	FZR1	6.325630824878515E-6
ANAPC4	ANAPC10	6.325630824878515E-6
ANAPC4	CDC23	6.325630824878515E-6
ANAPC4	ANAPC5	6.325630824878515E-6
ANAPC4	CDC16	6.325630824878515E-6
ANAPC4	ANAPC1	6.325630824878515E-6
ANAPC4	ANAPC2	6.325630824878515E-6
ANAPC4	ANAPC7	6.325630824878515E-6
ANAPC5	ANAPC4	6.325630824878515E-6
ANAPC5	CDC27	6.325630824878515E-6
ANAPC5	FZR1	6.325630824878515E-6
ANAPC5	ANAPC10	6.325630824878515E-6
ANAPC5	CDC23	6.325630824878515E-6
ANAPC5	CDC16	6.325630824878515E-6
ANAPC5	ANAPC1	6.325630824878515E-6
ANAPC5	ANAPC2	6.325630824878515E-6
ANAPC5	ANAPC7	6.325630824878515E-6
ANAPC10	ANAPC4	6.325630824878516E-6
ANAPC10	CDC27	6.325630824878516E-6
ANAPC10	FZR1	6.325630824878516E-6
ANAPC10	CDC23	6.325630824878516E-6
ANAPC10	ANAPC5	6.325630824878516E-6
ANAPC10	CDC16	6.325630824878516E-6
ANAPC10	ANAPC1	6.325630824878516E-6
ANAPC10	ANAPC2	6.325630824878516E-6
ANAPC10	ANAPC7	6.325630824878516E-6
CDC23	ANAPC4	6.325630824878516E-6
CDC23	CDC27	6.325630824878516E-6
CDC23	FZR1	6.325630824878516E-6
CDC23	ANAPC10	6.325630824878516E-6
CDC23	ANAPC5	6.325630824878516E-6
CDC23	CDC16	6.325630824878516E-6
CDC23	ANAPC1	6.325630824878516E-6
CDC23	ANAPC2	6.325630824878516E-6
CDC23	ANAPC7	6.325630824878516E-6
ANAPC2	ANAPC4	6.325630824878516E-6
ANAPC2	CDC27	6.325630824878516E-6
ANAPC2	FZR1	6.325630824878516E-6
ANAPC2	ANAPC10	6.325630824878516E-6
ANAPC2	CDC23	6.325630824878516E-6
ANAPC2	ANAPC5	6.325630824878516E-6
ANAPC2	CDC16	6.325630824878516E-6
ANAPC2	ANAPC1	6.325630824878516E-6
ANAPC2	ANAPC7	6.325630824878516E-6
ANAPC7	ANAPC4	6.325630824878518E-6
ANAPC7	CDC27	6.325630824878518E-6
ANAPC7	FZR1	6.325630824878518E-6
ANAPC7	ANAPC10	6.325630824878518E-6
ANAPC7	CDC23	6.325630824878518E-6
ANAPC7	ANAPC5	6.325630824878518E-6
ANAPC7	CDC16	6.325630824878518E-6
ANAPC7	ANAPC1	6.325630824878518E-6
ANAPC7	ANAPC2	6.325630824878518E-6
MAPK7	YWHAB	6.695968192460961E-6
MAPK7	GJA1	6.695968192460961E-6
